[00:00:01.886] (1124) INFO   Establishing WebSocket Secure connnection to Playtak server
[00:00:02.391] (1124) DEBUG  Client handshake done.
[00:00:02.391] (1124) INFO   Logging in as a guest
[00:00:02.391] (3878) DEBUG  Ignoring server message "Welcome!"
[00:00:02.392] (3878) DEBUG  Ignoring server message "Login or Register"
[00:00:02.392] (2a48) DEBUG  Sending "Client unknown+tokio-takconnect-0.1.3"
[00:00:02.392] (2a48) DEBUG  Sending "Protocol 1"
[00:00:02.392] (2a48) DEBUG  Sending a command while awaiting response(s) to 1 previous command(s)
[00:00:02.392] (2a48) DEBUG  Sending "Login Guest hnfydvryyfhtwahvnljj"
[00:00:02.393] (2a48) DEBUG  Sending a command while awaiting response(s) to 2 previous command(s)
[00:00:02.625] (1124) INFO   Pinging every 30s
[00:00:02.625] (2a48) DEBUG  Adding Seek { id: 182, seeker: "SlateBot", params: SeekParameters { opponent: None, color: Any, params: GameParameters { size: 6, initial_time: 600s, increment: 20s, half_komi: 6, flat_count: 30, cap_count: 1, unrated: false, tournament: false } } }
[00:00:02.625] (1124) INFO   Client ready
[00:00:02.625] (2a48) DEBUG  Adding Seek { id: 294, seeker: "IntuitionBot", params: SeekParameters { opponent: None, color: Any, params: GameParameters { size: 6, initial_time: 900s, increment: 30s, half_komi: 0, flat_count: 30, cap_count: 1, unrated: false, tournament: false } } }
[00:00:02.626] (233c) DEBUG  Sending "Seek 5 600 10 W 4 21 1 0 0 "
[00:00:02.626] (233c) DEBUG  Sending "PING"
[00:00:02.626] (233c) DEBUG  Sending a command while awaiting response(s) to 1 previous command(s)
[00:00:02.740] (30c4) DEBUG  Adding Seek { id: 279, seeker: "FriendlyBot", params: SeekParameters { opponent: None, color: Any, params: GameParameters { size: 6, initial_time: 900s, increment: 30s, half_komi: 0, flat_count: 30, cap_count: 1, unrated: false, tournament: false } } }
[00:00:02.741] (30c4) DEBUG  Adding Seek { id: 295, seeker: "AaaarghBot", params: SeekParameters { opponent: None, color: Any, params: GameParameters { size: 5, initial_time: 60s, increment: 5s, half_komi: 0, flat_count: 21, cap_count: 1, unrated: false, tournament: false } } }
[00:00:02.741] (30c4) DEBUG  Adding Seek { id: 280, seeker: "BeginnerBot", params: SeekParameters { opponent: None, color: Any, params: GameParameters { size: 5, initial_time: 600s, increment: 30s, half_komi: 0, flat_count: 21, cap_count: 1, unrated: false, tournament: false } } }
[00:00:02.741] (30c4) DEBUG  Adding Seek { id: 281, seeker: "TakticianBot", params: SeekParameters { opponent: None, color: Any, params: GameParameters { size: 5, initial_time: 1200s, increment: 30s, half_komi: 0, flat_count: 21, cap_count: 1, unrated: false, tournament: false } } }
[00:00:02.741] (30c4) DEBUG  Adding Seek { id: 267, seeker: "CobbleBot", params: SeekParameters { opponent: None, color: Any, params: GameParameters { size: 5, initial_time: 900s, increment: 30s, half_komi: 0, flat_count: 21, cap_count: 1, unrated: false, tournament: false } } }
[00:00:02.742] (30c4) DEBUG  Adding Game { id: 493543, white: "Wags", black: "CrumBot", params: GameParameters { size: 6, initial_time: 180s, increment: 5s, half_komi: 5, flat_count: 30, cap_count: 1, unrated: false, tournament: false } }
[00:00:02.742] (30c4) DEBUG  Online: 17
[00:00:02.742] (30c4) DEBUG  Adding Seek { id: 296, seeker: "Guest49", params: SeekParameters { opponent: None, color: White, params: GameParameters { size: 5, initial_time: 600s, increment: 10s, half_komi: 4, flat_count: 21, cap_count: 1, unrated: false, tournament: false } } }
[00:00:02.858] (233c) DEBUG  Ping: 232ms
[00:00:13.347] (233c) DEBUG  Online: 18
[00:00:15.488] (233c) DEBUG  Removing seek 296
[00:00:15.512] (233c) DEBUG  Adding Game { id: 493544, white: "Guest49", black: "x57696c6c", params: GameParameters { size: 5, initial_time: 600s, increment: 10s, half_komi: 4, flat_count: 21, cap_count: 1, unrated: false, tournament: false } }
[00:00:15.534] (233c) DEBUG  Sending "Game#493544 P E5"
[00:00:27.401] (30c4) DEBUG  Sending "Game#493544 P B4"
[00:00:28.571] (30c4) DEBUG  Closing Playtak connection
